epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,84.3985,0.96339,2.10774,1.37654,0.72919,0.65,0.7225,0.48903,1.67254,1.45788,1.39322,2.82082e-05,2.82082e-05,2.82082e-05
40,86.8201,1.00073,1.06085,1.44421,0.72919,0.65,0.7225,0.48903,1.67254,1.45788,1.39322,2.84911e-05,2.84911e-05,2.84911e-05
41,90.3972,0.7957,1.21563,1.16077,0.70438,0.66314,0.69949,0.44748,1.67135,1.50813,1.39489,2.87504e-05,2.87504e-05,2.87504e-05
42,92.8947,0.91147,1.33077,1.28097,0.70438,0.66314,0.69949,0.44748,1.67135,1.50813,1.39489,2.89861e-05,2.89861e-05,2.89861e-05
43,95.1326,0.51607,2.37433,1.09867,0.70095,0.7,0.69503,0.39829,1.68922,1.58146,1.39447,2.91983e-05,2.91983e-05,2.91983e-05
44,97.5118,0.91427,1.06636,1.26935,0.70095,0.7,0.69503,0.39829,1.68922,1.58146,1.39447,2.93869e-05,2.93869e-05,2.93869e-05
45,99.628,0.63968,0.91739,1.14745,0.77585,0.48333,0.58253,0.34398,1.7157,1.63409,1.40493,2.9552e-05,2.9552e-05,2.9552e-05
46,101.275,0.92638,1.27254,1.39592,0.77585,0.48333,0.58253,0.34398,1.7157,1.63409,1.40493,2.96935e-05,2.96935e-05,2.96935e-05
47,103.316,0.85937,0.87303,1.13456,0.77012,0.48333,0.54391,0.32208,1.71442,1.68698,1.40694,2.98114e-05,2.98114e-05,2.98114e-05
48,106.018,0.74749,1.07169,1.13941,0.77012,0.48333,0.54391,0.32208,1.71442,1.68698,1.40694,2.99058e-05,2.99058e-05,2.99058e-05
49,110.203,0.97016,1.1607,1.29167,0.77769,0.49169,0.52379,0.30679,1.73411,1.7528,1.41474,2.99766e-05,2.99766e-05,2.99766e-05
50,112.537,0.83534,0.91536,1.18584,0.77769,0.49169,0.52379,0.30679,1.73411,1.7528,1.41474,3.00238e-05,3.00238e-05,3.00238e-05
51,114.622,0.75847,1.02499,1.15677,0.77835,0.49186,0.51991,0.30418,1.74988,1.7992,1.42429,3.00475e-05,3.00475e-05,3.00475e-05
52,116.812,0.81184,0.92855,1.16248,0.77835,0.49186,0.51991,0.30418,1.74988,1.7992,1.42429,3.00476e-05,3.00476e-05,3.00476e-05
53,118.842,0.66629,0.73538,1.18781,0.77835,0.49186,0.51991,0.30418,1.74988,1.7992,1.42429,3.00242e-05,3.00242e-05,3.00242e-05
54,120.805,0.84037,1.12026,1.24845,0.77908,0.49496,0.51726,0.28563,1.76056,1.85546,1.43637,2.99772e-05,2.99772e-05,2.99772e-05
55,122.772,0.87397,0.78895,1.14992,0.77908,0.49496,0.51726,0.28563,1.76056,1.85546,1.43637,2.99066e-05,2.99066e-05,2.99066e-05
56,125.056,0.70303,0.96912,1.1044,0.77908,0.49496,0.51726,0.28563,1.76056,1.85546,1.43637,2.98125e-05,2.98125e-05,2.98125e-05
57,127.344,0.64938,0.86167,1.07176,0.77739,0.49723,0.51801,0.28613,1.74874,1.8529,1.43329,2.96948e-05,2.96948e-05,2.96948e-05
58,129.395,0.72854,0.74449,1.15766,0.77739,0.49723,0.51801,0.28613,1.74874,1.8529,1.43329,2.95535e-05,2.95535e-05,2.95535e-05
59,131.685,0.79721,0.91373,1.21278,0.77739,0.49723,0.51801,0.28613,1.74874,1.8529,1.43329,2.93887e-05,2.93887e-05,2.93887e-05
60,133.97,1.0362,1.12305,1.43302,0.77747,0.5,0.51196,0.27927,1.7571,1.90141,1.4379,2.92003e-05,2.92003e-05,2.92003e-05
61,136.122,0.6397,0.81667,1.09347,0.77747,0.5,0.51196,0.27927,1.7571,1.90141,1.4379,2.89884e-05,2.89884e-05,2.89884e-05
